"xVOut2","VOut2","IOut2","xIOut2","IInductor2","xIInductor2","Pgood2","xPgood2","ILoad2","xILoad2","ICin2","xICin2","VSwitch2","xVSwitch2","ICout2","xICout2","IIn2","xIIn2","VIn2","xVIn2"
"0","3.3145482540130615","1.5","0","1.348339319229126","0","3.3079333305358887","0","1.5","0","-0.1011490523815155","0","4.9111104011535645","0","-0.15169133245944977","0","1.247417688369751","0","4.998752593994141","0"
"0.273939804174006","3.3150625228881836","1.5","100.00001930166036","1.8550902605056763","0.21947198547422886","3.3084449768066406","0.2719461917877197","1.5","100.00001930166036","0.7754506468772888","0.2197193680331111","-1.0173150300979614","0.2197193680331111","0.35507482290267944","0.21947198547422886","1.809244990348816","0.21947198547422886","4.998191833496094","0.2190645318478346"
"0.3188761183992028","3.315000534057617","1.4916317462921143","100.06198135670274","1.199751853942871","0.34976983442902565","3.3083853721618652","0.3188761183992028","1.4916317462921143","100.06198135670274","0.17751523852348328","0.28594513423740864","-0.03959180787205696","0.34976983442902565","-0.3002788722515106","0.34976983442902565","0.17770443856716156","0.28594513423740864","4.99982213973999","0.28594513423740864"
"0.4628818714991212","3.3145387172698975","1.4913216829299927","100.06428055930883","1.1487030982971191","0.35925768315792084","3.3079233169555664","0.4628818714991212","1.4913216829299927","100.06428055930883","-0.6935510039329529","0.35925768315792084","-0.6752530932426453","0.3552268026396632","-0.35098814964294434","0.35924313124269247","0.033118825405836105","0.35903940442949533","4.999967098236084","0.35903940442949533"
"0.5802430678158998","3.3146331310272217","1.4912123680114746","100.06509546656162","1.6337767839431763","0.5672191036865115","3.308015823364258","0.5802430678158998","1.4912123680114746","100.06509546656162","-0.04751551151275635","0.5937472451478243","4.924629211425781","0.3594032023102045","0.133687362074852","0.5671899998560548","1.5853132009506226","0.5672191036865115","4.998414039611816","0.567437382414937"
"0.7188209565356374","3.315115451812744","1.4910346269607544","100.06640513893217","1.867812991142273","0.669300789013505","3.3084981441497803","0.7188209565356374","1.4910346269607544","100.06640513893217","0.7805296778678894","0.6695190677419305","4.890236854553223","0.5802430678158998","0.3677949905395508","0.669300789013505","1.821964144706726","0.669300789013505","4.998178958892822","0.6688933353871107"
"0.8550705388188362","3.31471848487854","1.477973222732544","100.16317537520081","1.146854043006897","0.8116039680317044","3.3081188201904297","0.8502538548782468","1.477973222732544","100.16317537520081","-0.6836674809455872","0.8116039680317044","-1.0231051445007324","0.6695190677419305","-0.3508945405483246","0.8115748642012477","0.03154051676392555","0.8113856893032789","4.999967098236084","0.8092756615951657"
"0.939631718210876","3.314577341079712","1.47764253616333","100.16562009695917","1.6281484365463257","1.017106114886701","3.3079617023468018","0.939631718210876","1.47764253616333","100.16562009695917","-0.21143947541713715","0.8550705388188362","4.924624443054199","0.8117785910144448","0.1280330866575241","1.0170770110562444","1.0762907266616821","0.8613860700279474","4.998990058898926","0.8502538548782468"
"1.1448573786765337","3.31512451171875","1.4776328802108765","100.16567830462009","1.8651504516601562","1.1204683687537909","3.3085062503814697","1.1448573786765337","1.4776328802108765","100.16567830462009","0.7785109877586365","1.120672095566988","4.8925909996032715","1.017106114886701","0.36513248085975647","1.1204683687537909","1.8192861080169678","1.1204683687537909","4.998181343078613","1.1200609151273966"
"1.1754600564017892","3.3151652812957764","1.4772690534591675","100.16838496085256","1.1975958347320557","1.2532836990430951","3.308547258377075","1.1734518921002746","1.4772690534591675","100.16838496085256","0.5554457306861877","1.136024366132915","-1.0201421976089478","1.120672095566988","-0.3024348020553589","1.2532836990430951","0.4853236973285675","1.1421070666983724","4.99943733215332","1.1354422895237803"
"1.3813114492222667","3.314624547958374","1.4769753217697144","100.17056774813682","1.146673560142517","1.2626551324501634","3.308008909225464","1.3813114492222667","1.4769753217697144","100.17056774813682","-0.6828088760375977","1.262640580534935","-0.05902570113539696","1.134118065237999","-0.35222327709198","1.2626260286197066","0.032007407397031784","1.261811121366918","4.999967098236084","1.2602540664374828"
"1.4667166396975517","3.3146891593933105","1.4767647981643677","100.17211025115103","1.6306604146957397","1.4697870938107371","3.3080718517303467","1.4667166396975517","1.4767647981643677","100.17211025115103","-0.052900973707437515","1.4364341041073203","-0.6744493842124939","1.2588861864060163","0.1303403675556183","1.4696706784889102","1.582257628440857","1.4697870938107371","4.998419761657715","1.4689721865579486"
"1.6004923963919282","3.315176248550415","1.476219892501831","100.17615568358451","1.8653028011322021","1.5721161616966128","3.308558225631714","1.6004923963919282","1.476219892501831","100.17615568358451","0.7799862623214722","1.5723780961707234","4.924708366394043","1.2628152035176754","0.36528146266937256","1.5721161616966128","1.8191606998443604","1.5721743693575263","4.998181343078613","1.571723259985447"
"1.7010606825351715","3.3150405883789062","1.475964903831482","100.1780474325642","1.189857840538025","1.7065613064914942","3.3084261417388916","1.7010606825351715","1.475964903831482","100.1780474325642","0.041963379830121994","1.7010606825351715","4.892424583435059","1.4697870938107371","-0.31017282605171204","1.7065613064914942","0.04215266555547714","1.7010606825351715","4.999958038330078","1.7010606825351715"
"1.8198916222900152","3.3146579265594482","1.459603190422058","100.29923578258604","1.1370041370391846","1.7160637071356177","3.3080222606658936","1.843916834332049","1.459603190422058","100.29923578258604","-0.6755062937736511","1.7160637071356177","-1.0225070714950562","1.5723780961707234","-0.3604671061038971","1.7159763956442475","0.030360087752342224","1.7158308764919639","4.9999680519104","1.7137208487838507"
