"VOut1","xVOut1","VIn1","xVIn1","ICin1","xICin1","IIn1","xIIn1"
"3.314443826675415","30.90329119004309","4.998621463775635","30.876428354531527","-0.056129466742277145","30.90329119004309","1.3785480260849","30.876428354531527"
"3.3144800662994385","30.93742998316884","4.998435974121094","30.948955100029707","-0.04977283999323845","30.93742998316884","1.564527988433838","30.949129723012447"
"3.3145008087158203","30.948955100029707","4.9984354972839355","30.949042411521077","-0.04899393394589424","30.94668500125408","1.565002679824829","30.949333449825644"
"3.3145010471343994","30.949129723012447","4.998434543609619","30.949508072808385","-0.0486072413623333","30.953233363106847","1.5658496618270874","30.949682695791125"
"3.3145015239715576","30.949333449825644","4.998434066772461","30.94965359196067","-0.04828334599733353","30.959548894315958","1.5660218000411987","30.949770007282495"
"3.314502239227295","30.94965359196067","4.998433589935303","30.94991552643478","-0.04777662828564644","30.971365049481392","1.5689228773117065","30.95099236816168"
"3.314502716064453","30.94991552643478","4.99843168258667","30.950672226026654","-0.04774203896522522","30.972296372056007","1.5693888664245605","30.951196094974875"
"3.3145031929016113","30.950206564739347","4.9984307289123535","30.951108783483505","-0.047389544546604156","30.982657335698605","1.569608211517334","30.951283406466246"
"3.3145041465759277","30.950672226026654","4.998430252075195","30.951283406466246","-0.047281477600336075","30.98626621067524","1.5703119039535522","30.951574444770813"
"3.314504623413086","30.950934160500765","4.998429775238037","30.951458029448986","-0.04694703593850136","30.9992756228894","1.5709099769592285","30.951836379244924"
"3.314504861831665","30.95096326433122","4.998429298400879","30.95169086009264","-0.0468977615237236","31.001458410173655","1.5721479654312134","30.952360248193145"
"3.3145053386688232","30.951196094974875","4.998427867889404","30.95230204053223","-0.0466759130358696","31.0124596580863","1.5725740194320679","30.952534871175885"
"3.3145058155059814","30.951458029448986","4.998427391052246","30.952534871175885","-0.046492114663124084","31.023286283016205","1.5735020637512207","30.952913220971823"
"3.3145065307617188","30.951836379244924","4.99842643737793","30.952884117141366","-0.04611591622233391","31.052331905812025","1.5737431049346924","30.95302963629365"
"3.314507007598877","30.952011002227664","4.99842643737793","30.95302963629365","-0.04609476029872894","31.054398277774453","1.8017946481704712","31.05131327174604"
"3.314507484436035","30.95230204053223","4.998420715332031","30.95532883889973","0.7597227096557617","31.054718419909477","1.802314281463623","31.051516998559237"
"3.3145079612731934","30.952534871175885","4.998419284820557","30.956085538491607","0.7713224291801453","31.054747523739934","1.8029310703277588","31.051808036863804"
"3.3145089149475098","30.952913220971823","4.998417377471924","30.95675492659211","0.7731364965438843","31.05477662757039","1.8037203550338745","31.052128178998828"
"3.314509153366089","30.95302963629365","4.998412609100342","30.95873398706317","0.7729085683822632","31.054834835231304","1.8041833639144897","31.052331905812025"
"3.314509391784668","30.953233363106847","4.998404502868652","30.962168239057064","0.7712319493293762","31.05495125055313","1.8048005104064941","31.052622944116592"
"3.3145103454589844","30.95364081673324","4.9983811378479","30.972296372056007","0.764151930809021","31.055358704179525","1.8088781833648682","31.054398277774453"
"3.3145172595977783","30.95675492659211","4.99819803237915","31.05131327174604","0.7638459205627441","31.055387808009982","0.7944517731666565","31.054718419909477"
"3.314521551132202","30.95873398706317","4.998197555541992","31.051516998559237","0.7620124220848083","31.055475119501352","0.7785706520080566","31.054747523739934"
"3.3145644664764404","30.975497793406248","4.998197078704834","31.051808036863804","0.7604736089706421","31.05559153482318","0.7750032544136047","31.05477662757039"
"3.314640760421753","30.9992756228894","4.998196125030518","31.052128178998828","0.7591192126274109","31.055649742484093","0.773305356502533","31.054834835231304"
"3.3147358894348145","31.023286283016205","4.998195648193359","31.052331905812025","0.7033924460411072","31.059083994477987","0.7643386125564575","31.055358704179525"
"3.3148725032806396","31.051808036863804","4.998195171356201","31.052622944116592","0.702603280544281","31.0591422021389","0.7640326023101807","31.055387808009982"
"3.3148744106292725","31.052128178998828","4.998193740844727","31.053146813064814","0.7015544176101685","31.059200409799814","0.7621991634368896","31.055475119501352"
"3.3148746490478516","31.052215490490198","4.9981913566589355","31.054223654791713","0.6938071250915527","31.05969517491758","0.7606602907180786","31.05559153482318"
"3.314875364303589","31.052331905812025","4.999205589294434","31.054718419909477","0.6914097666740417","31.05986979790032","0.7593058943748474","31.055649742484093"
"3.3148767948150635","31.052622944116592","4.999221324920654","31.054747523739934","0.6819026470184326","31.06048097833991","0.7035794854164124","31.059083994477987"
"3.3148860931396484","31.054398277774453","4.99922513961792","31.05477662757039","0.6807131171226501","31.06056828983128","0.7027903199195862","31.0591422021389"
"3.314887762069702","31.054718419909477","4.9992265701293945","31.054834835231304","0.6676651835441589","31.061441404744983","0.7017414569854736","31.059200409799814"
"3.3148884773254395","31.05495125055313","4.999228477478027","31.05495125055313","0.6658075451850891","31.06155782006681","0.6939942240715027","31.05969517491758"
"3.3148891925811768","31.05515497736633","4.999232292175293","31.05515497736633","0.6642482280731201","31.061674235388637","0.6915968060493469","31.05986979790032"
"3.314889907836914","31.055300496518612","4.999238014221191","31.055475119501352","0.6628286242485046","31.061761546880007","0.6820897459983826","31.06048097833991"
"3.314890146255493","31.055358704179525","4.999239444732666","31.05559153482318","0.661310613155365","31.061877962201834","0.6809002757072449","31.06056828983128"
"3.3148908615112305","31.05559153482318","4.999240875244141","31.055649742484093","0.5411787629127502","31.070871045812964","0.6678524017333984","31.061441404744983"
"3.314892530441284","31.055998988449574","4.99925422668457","31.056493753567338","0.41313156485557556","31.08303644694388","0.6659947633743286","31.06155782006681"
"3.314901351928711","31.05853102169931","4.999296188354492","31.059083994477987","0.3743576407432556","31.087431125342846","0.6644354462623596","31.061674235388637"
